doc_id,filename,mime_type
1RKzjRZ2T4TkaF1s9fEPD6flQeM6zVkU3r3uin2RfhDQ,Call For Locus Open Source Team (LOST)- 2027 (Responses),application/vnd.google-apps.spreadsheet
1L_SvmmutORcLkjpoPm3jtBR6aoGLYJlN,LOCUS_2027_Community_Partnership_Confirmation_FINAL_SIGNED.pdf.pdf,application/pdf
1JSRPF3eAJ_ue7PB9wCaJdSfgEPjdemTzJ4rT1k_tGh0,"LOCUS 2027, Call For Campus Ambassadors (Responses)",application/vnd.google-apps.spreadsheet
19-Esa5EalpVPwqS__lusLvvKF7YKzYcG_IDIyq5g5MA,LOCUS_2027_Day6_Instructors_and_Mentors,application/vnd.google-apps.spreadsheet
1tTlTGe-q6LU5Ojf0CdLImerOzS2-HY-EiZ9i2G5qdbk,LOCUS_2027_Software_Fellowship_8_Day_Registration,application/vnd.google-apps.spreadsheet
1eQPMnyn38LQUntXQ0rq30q9wKCmbAsMubdmsWO6Aye4,LOCUS_2027_Day5_Instructors_and_Mentors,application/vnd.google-apps.spreadsheet
1-mDbKK-pxfNhI752D4LdPt8gbfZs8eBPjW74zP2PCRg,LOCUS_2027_Day4_Instructors_and_Mentors,application/vnd.google-apps.spreadsheet
1gvzhLHUVXR2PzmdeLXXS5shANfiPKB8KJJcaR8v2Vkg,LOCUS_2027_Day3_Instructors_and_Mentors,application/vnd.google-apps.spreadsheet
1Id00svdCX5amMCeT0nq2-xrX5cEv8gP4iY-ouUGLoGA,LOCUS_2027_Day2_Instructors_and_Mentors,application/vnd.google-apps.spreadsheet
1kHP7TqOmvbJ7zCvc8JaYD75Qa0z0sYqtrylK-hbUSWU,LOCUS Registration Sheet,application/vnd.google-apps.spreadsheet
1T810hKmvk_eWru0hcWlk48ceY1CjcD8URsiYgfmDW3s,LOCUS_2027_Software_Fellowship_Registration_Sheets,application/vnd.google-apps.spreadsheet
1qJztlU6avsu5tbY0wEYaorI2Sxfk_YEn,Locus_Prospectus_2027.pdf,application/pdf
1CfhZ1NKvl8VxNDW-TfkcXmctK9qgb4Ci,Locus_Prospectus_2027.pdf,application/pdf
1VBNXZ9kjOyPjbG3O5YSzpYBuDMil503z,Locus_Prospectus_2027.pdf,application/pdf
1YGdZb1v9zYyOy5KqCfeLHvfMKb-xWJO0ewXFvz5aaeQ,letters locus 2027,application/vnd.google-apps.document
1R8-zACq0B1H2UyfgnpuDHM8Rons8p3uEjphTXCyRFNs,LOCUS 2019 sponsors,application/vnd.google-apps.spreadsheet
1OT20Zo1d_DUL-jcQ5qE8NPc9frgQ1hUNr-0gUj7_P7Y,letters locus 2027 - Line chart 1,application/vnd.google-apps.spreadsheet
1SlGbSCCNWRJqOG0aAKjyOyIbz7L8u560t6p7IRx_yic,"Call For Campus Representatives: LOCUS 2024, Pulchowk Campus (Responses)",application/vnd.google-apps.spreadsheet
1byvRh0SJPiulJh-pN2fsadiTHkb0Kjf7SGJg1mmknoc,Copy of LOCUS 2026 expenses,application/vnd.google-apps.spreadsheet
1h5cl-h1tfM9eqFMGsOHE0TdUvSfLtisQQXDpp0t8b1U,LOCUS  POLICIES,application/vnd.google-apps.document
1cttGXumXeiNyIP7tNgik4cNEqwO-DtaUTH4U11udHi4,LOCUS Marketing Team  (Responses),application/vnd.google-apps.spreadsheet
1wy1IpOXwIHrst2oE1ZlQpGAcBpArW_fuMY__1AjewHM,Locus History,application/vnd.google-apps.document
1auUbsSXFQQu4UMs9ZtW8ZnLhkO6bMEQKCwnRAuCv_-8,Copy of Locus2026_x_PMCARC Music Eve : Call for Performers and Emcees (Responses),application/vnd.google-apps.spreadsheet
1JNgl-diuxxQHgfgwTc9CGoEUcJOuMGePscCqYRKod2s,Copy of Locus2026_x_PMCARC Music Eve : Call for Performers and Emcees (Responses),application/vnd.google-apps.spreadsheet
1ibLpiORDoMKvRykx9QX4sATJ9WRWHBfRIlGiHdl9--M,Call For Volunteers LOCUS 2026 (Responses),application/vnd.google-apps.spreadsheet
1_mpmtg2KKk6GcVnhdbA_LQwYxvuGo7RSmvl3SJPxM3A,Copy of Locus2026_x_PMCARC Music Eve : Call for Performers and Emcees (Responses),application/vnd.google-apps.spreadsheet
13ZqeqMzpdl21Hpu9HM6BnlheUackez6780O7OYZO8ic,Locus2026_x_PMCARC Music Eve : Call for Performers and Emcees (Responses),application/vnd.google-apps.spreadsheet
1e-qjdPQFDUu-UGmx3gR056q4_2dGb0HLvEsG0pouYLo,mou-RAN-locus2026,application/vnd.google-apps.document
14h3mt8YEGFDMWrPP48-y5p-AKxbPGIUwu_73YcKzzYs,Walkathon - LOCUS 2026 (Responses),application/vnd.google-apps.spreadsheet
1v8jdDksKsTgkCblRoQuLKPARqBYx16xIR5VXQPtNPjk,Copy of Locus2026_x_PMCARC Music Eve : Call for Performers and Emcees (Responses),application/vnd.google-apps.spreadsheet
1-jKAZefL8LGosTocwhsKCTBv4YwnnTNWztrItuzv3a4,LOCUS 2026 Hardware Fellowship – Feedback & Email Confirmation Form (Responses),application/vnd.google-apps.spreadsheet
1Qjwcp48JOiu4_GBwRGzc_VNgDct7gNkoVczajL6ZqH0,Dolphin dive locus 2026,application/vnd.google-apps.document
1Hc6iqYmi_vjcJ4mlivr_haVFjmyvbjS9rVe6HQr91NY,Meeting Schedule for For Volunteers LOCUS 2026 (Responses),application/vnd.google-apps.spreadsheet
1owIgzoL-cawB-BOM0367gLk51S83_eKsrHVws8Bl8cY,Copy of BOYS_LOCUS_CUP_2025,application/vnd.google-apps.document
1M7R6TLAaiRzoj98pDCIzhOorYpJEbl9F,Copy of BOYS_LOCUS_CUP_2025.pdf,application/pdf
1SxCBrSZ4eE_PNyEg2TIWvFQNC_ow-wbycywqZ7fJxXU,dolphin-dive-mou-locus2025,application/vnd.google-apps.document
